RetainedRef	DuplicateRef
Homo_sapiens_tRNA-Glu-CTC-1-2::chr1:161447178-161447349	Homo_sapiens_tRNA-Glu-CTC-1-3::chr1:161454558-161454729
Homo_sapiens_tRNA-Glu-CTC-1-2::chr1:161447178-161447349	Homo_sapiens_tRNA-Glu-CTC-1-4::chr1:161461969-161462140
Homo_sapiens_tRNA-Glu-CTC-1-2::chr1:161447178-161447349	Homo_sapiens_tRNA-Glu-CTC-1-5::chr1:161469349-161469520
Homo_sapiens_tRNA-Gly-TCC-2-2::chr1:161447535-161447706	Homo_sapiens_tRNA-Gly-TCC-2-3::chr1:161454916-161455087
Homo_sapiens_tRNA-Gly-TCC-2-2::chr1:161447535-161447706	Homo_sapiens_tRNA-Gly-TCC-2-4::chr1:161462326-161462497
Homo_sapiens_tRNA-Gly-TCC-2-2::chr1:161447535-161447706	Homo_sapiens_tRNA-Gly-TCC-2-5::chr1:161469707-161469878
Homo_sapiens_tRNA-Gly-GCC-1-1::chr1:161443254-161443424	Homo_sapiens_tRNA-Gly-GCC-1-2::chr1:161450627-161450797
Homo_sapiens_tRNA-Gly-GCC-1-1::chr1:161443254-161443424	Homo_sapiens_tRNA-Gly-GCC-1-3::chr1:161458058-161458228
Homo_sapiens_tRNA-Gly-GCC-1-1::chr1:161443254-161443424	Homo_sapiens_tRNA-Gly-GCC-1-4::chr1:161465418-161465588
Homo_sapiens_tRNA-Ile-GAT-1-2::chrX:3876751-3876924	Homo_sapiens_tRNA-Ile-GAT-1-3::chrX:3915180-3915353
Homo_sapiens_tRNA-Gln-CTG-3-1::chr1:145459608-145459779	Homo_sapiens_tRNA-Gln-CTG-3-2::chr1:148032740-148032911
Homo_sapiens_tRNA-Asp-GTC-2-1::chr1:161440775-161440946	Homo_sapiens_tRNA-Asp-GTC-2-2::chr1:161448193-161448364
Homo_sapiens_tRNA-Asp-GTC-2-1::chr1:161440775-161440946	Homo_sapiens_tRNA-Asp-GTC-2-3::chr1:161455574-161455745
Homo_sapiens_tRNA-Asp-GTC-2-1::chr1:161440775-161440946	Homo_sapiens_tRNA-Asp-GTC-2-4::chr1:161462984-161463155
Homo_sapiens_tRNA-Asp-GTC-2-1::chr1:161440775-161440946	Homo_sapiens_tRNA-Asp-GTC-2-5::chr1:161470365-161470536
Homo_sapiens_tRNA-Leu-CAG-1-2::chr1:161448901-161449083	Homo_sapiens_tRNA-Leu-CAG-1-3::chr1:161456282-161456464
Homo_sapiens_tRNA-Leu-CAG-1-2::chr1:161448901-161449083	Homo_sapiens_tRNA-Leu-CAG-1-4::chr1:161463692-161463874
Homo_sapiens_tRNA-Leu-CAG-1-2::chr1:161448901-161449083	Homo_sapiens_tRNA-Leu-CAG-1-5::chr1:161471073-161471255
